様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
6F,ラウンジ6流し,学校等,事務室,0.9,4.4,2.7,6F,ラウンジ6流し,ACP-D1a,ACP-D1a,
6F,非EVロビー兼用付室,学校等,教室（大学）,25,4.4,2.7,6F,非EVロビー兼用付室,ACP-EV2a,ACP-EV2a,
7F,リエゾンラボラトリー701,学校等,研究室,48,4.2,2.7,7F,リエゾンラボラトリー701,OHU-7,OHU-7,
7F,リエゾンラボラトリー702,学校等,研究室,25,4.2,2.7,7F,リエゾンラボラトリー702,OHU-7,OHU-7,
7F,リエゾンラボラトリー703,学校等,研究室,25,4.2,2.7,7F,リエゾンラボラトリー703,OHU-7,OHU-7,
7F,会議室704,学校等,事務室,24,4.2,2.7,7F,会議室704,OHU-7,OHU-7,
7F,リエゾンラボラトリー705,学校等,研究室,32,4.2,2.7,7F,リエゾンラボラトリー705,OHU-7,OHU-7,
7F,リエゾンラボラトリー706,学校等,研究室,32,4.2,2.7,7F,リエゾンラボラトリー706,OHU-7,OHU-7,
7F,リエゾンラボラトリー707,学校等,研究室,32,4.2,2.7,7F,リエゾンラボラトリー707,OHU-7,OHU-7,
7F,リエゾンラボラトリー708,学校等,研究室,31,4.2,2.7,7F,リエゾンラボラトリー708,OHU-7,OHU-7,
7F,ディスカッションコーナー2,学校等,事務室,14,4.2,2.7,7F,ディスカッションコーナー2,OHU-7,OHU-7,
7F,会議室709,学校等,事務室,46,4.2,2.7,7F,会議室709,OHU-7,OHU-7,
7F,ラウンジ6,学校等,教室（大学）,14.3,4.2,2.7,7F,ラウンジ6,ACP-D2a,ACP-D2a,
7F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,7F,ラウンジ6流し,ACP-D2a,ACP-D2a,
7F,非EVロビー兼用付室,学校等,教室（大学）,25,4.2,2.7,7F,非EVロビー兼用付室,ACP-EV3a,ACP-EV3a,
8F,共同研究室801,学校等,研究室,48,4.2,2.7,8F,共同研究室801,OHU-7,OHU-7,
8F,共同研究室802,学校等,研究室,51,4.2,2.7,8F,共同研究室802,OHU-7,OHU-7,
8F,共同研究室803,学校等,研究室,51,4.2,2.7,8F,共同研究室803,OHU-7,OHU-7,
8F,共同研究室804,学校等,研究室,24,4.2,2.7,8F,共同研究室804,OHU-7,OHU-7,
8F,共同研究室805,学校等,研究室,51,4.2,2.7,8F,共同研究室805,OHU-7,OHU-7,
8F,共同研究室806,学校等,研究室,25,4.2,2.7,8F,共同研究室806,OHU-7,OHU-7,
8F,共同研究室807,学校等,研究室,25,4.2,2.7,8F,共同研究室807,OHU-7,OHU-7,
8F,共同研究室808,学校等,研究室,25,4.2,2.7,8F,共同研究室808,OHU-7,OHU-7,
8F,共同研究室809,学校等,研究室,25,4.2,2.7,8F,共同研究室809,OHU-7,OHU-7,
8F,共同研究室810,学校等,研究室,25,4.2,2.7,8F,共同研究室810,OHU-7,OHU-7,
8F,共同研究室811,学校等,研究室,25,4.2,2.7,8F,共同研究室811,OHU-7,OHU-7,
8F,共同研究室812,学校等,研究室,22,4.2,2.7,8F,共同研究室812,OHU-7,OHU-7,
8F,ミーティングブース1,学校等,事務室,46,8.4,6.9,8F,ミーティングブース1,OHU-7,OHU-7,
8F,ラウンジ6,学校等,教室（大学）,14.3,4.2,2.7,8F,ラウンジ6,ACP-D2b,ACP-D2b,
8F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,8F,ラウンジ6流し,ACP-D2b,ACP-D2b,
8F,非EVロビー兼用付室,学校等,教室（大学）,25,4.2,2.7,8F,非EVロビー兼用付室,ACP-EV3a,ACP-EV3a,
9F,共同研究室901,学校等,研究室,48,4.2,2.7,9F,共同研究室901,OHU-7,OHU-7,
9F,共同研究室902,学校等,研究室,51,4.2,2.7,9F,共同研究室902,OHU-7,OHU-7,
