様式 4-1. (給湯)給湯対象室入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,①,①,①,②,③,④,,,,
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称,,,,
,,,,,（給湯栓設置箇所）,,,,,,
,,,,[㎡],,,,,,,
(転記),(転記),(転記),(転記),(転記),,(選択),(選択),,,,
,,,,,,,,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,会議室602,学校等,事務室,25,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,研究知財倉庫,学校等,事務室,52,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,男子更衣室,学校等,事務室,5,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,女子更衣室,学校等,事務室,5,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,台車置場,学校等,事務室,12,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,作業室,学校等,事務室,12,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,研究知財事務室,学校等,事務室,200.8,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,応接ブース,学校等,事務室,11.6,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,会議ブース,学校等,事務室,14.6,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
6F,研究知財役職室,学校等,事務室,46,,有,EHW-1-6a,,,,
,,,,,,有,EHW-1-6b,,,,
,,,,,,有,EHW-2-6a,,,,
7F,リエゾンラボラトリー701,学校等,研究室,48,,有,EHW-1-7a,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
7F,リエゾンラボラトリー702,学校等,研究室,25,,有,EHW-1-7a,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
7F,リエゾンラボラトリー703,学校等,研究室,25,,有,EHW-1-7a,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
7F,会議室704,学校等,事務室,24,,有,EHW-1-7a,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
7F,リエゾンラボラトリー705,学校等,研究室,32,,有,EHW-1-7a,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
7F,リエゾンラボラトリー706,学校等,研究室,32,,有,EHW-1-7a,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
7F,リエゾンラボラトリー707,学校等,研究室,32,,有,EHW-1-7a,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
7F,リエゾンラボラトリー708,学校等,研究室,31,,有,EHW-1-7a,,,,
