様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
5F,EVホール,学校等,大学教室,18,4.4,2.7,■,,■,,
5F,男WC3,学校等,便所,21,4.4,2.4,,■,■,,
5F,女WC3,学校等,便所,17,4.4,2.4,,■,■,,
5F,多目的WC3,学校等,便所,6,4.4,2.4,,■,■,,
6F,会議室601,学校等,事務室,25,4.4,2.7,■,,■,■,
6F,会議室602,学校等,事務室,25,4.4,2.7,■,,■,■,
6F,研究知財倉庫,学校等,事務室,52,4.4,2.7,■,,■,■,
6F,男子更衣室,学校等,事務室,5,4.4,2.7,■,,■,■,
6F,女子更衣室,学校等,事務室,5,4.4,2.7,■,,■,■,
6F,台車置場,学校等,事務室,12,4.4,2.7,■,,■,■,
6F,作業室,学校等,事務室,12,4.4,2.7,■,,■,■,
6F,研究知財事務室,学校等,事務室,200.8,4.4,2.7,■,,■,■,
6F,応接ブース,学校等,事務室,11.6,4.4,2.7,■,,■,■,
6F,会議ブース,学校等,事務室,14.6,4.4,2.7,■,,■,■,
6F,研究知財役職室,学校等,事務室,46,4.4,2.7,■,,■,■,
6F,倉庫3,学校等,湯沸室等,12,4.4,2.7,,■,■,,
6F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.4,2.7,,■,■,,
6F,ラウンジ6,学校等,大学教室,14.3,4.4,2.7,■,,■,,
6F,ラウンジ6流し,学校等,事務室,0.9,4.4,2.7,■,,■,,
6F,ポンプ室,学校等,機械室,50,4.4,2.7,,■,■,,
6F,EVMR1,学校等,機械室,31,4.4,2.7,,■,■,,
6F,非EVロビー兼用付室,学校等,大学教室,25,4.4,2.7,■,,■,,
6F,男WC4,学校等,便所,17,4.4,2.4,,■,■,,
6F,女WC4,学校等,便所,22,4.4,2.4,,■,■,,
7F,リエゾンラボラトリー701,学校等,研究室,48,4.2,2.7,■,,■,■,
7F,リエゾンラボラトリー702,学校等,研究室,25,4.2,2.7,■,,■,■,
7F,リエゾンラボラトリー703,学校等,研究室,25,4.2,2.7,■,,■,■,
7F,サーバー室,学校等,電気室,51,4.2,2.7,,■,■,,
7F,会議室704,学校等,事務室,24,4.2,2.7,■,,■,■,
7F,リエゾンラボラトリー705,学校等,研究室,32,4.2,2.7,■,,■,■,
7F,リエゾンラボラトリー706,学校等,研究室,32,4.2,2.7,■,,■,■,
7F,リエゾンラボラトリー707,学校等,研究室,32,4.2,2.7,■,,■,■,
7F,リエゾンラボラトリー708,学校等,研究室,31,4.2,2.7,■,,■,■,
7F,ディスカッションコーナー2,学校等,事務室,14,4.2,2.7,■,,■,■,
7F,会議室709,学校等,事務室,46,4.2,2.7,■,,■,■,
7F,倉庫3,学校等,湯沸室等,6,4.2,2.7,,■,■,,
7F,ゴミコーナー,学校等,ゴミ置場等,1.8,4.2,2.7,,■,■,,
7F,ラウンジ6,学校等,大学教室,14.3,4.2,2.7,■,,■,,
7F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,■,,■,,
7F,非EVロビー兼用付室,学校等,大学教室,25,4.2,2.7,■,,■,,
7F,男WC4,学校等,便所,18,4.2,2.4,,■,■,,
7F,女WC4,学校等,便所,22,4.2,2.4,,■,■,,
8F,共同研究室801,学校等,研究室,48,4.2,2.7,■,,■,■,
8F,共同研究室802,学校等,研究室,51,4.2,2.7,■,,■,■,
8F,共同研究室803,学校等,研究室,51,4.2,2.7,■,,■,■,
8F,共同研究室804,学校等,研究室,24,4.2,2.7,■,,■,■,
8F,共同研究室805,学校等,研究室,51,4.2,2.7,■,,■,■,
8F,共同研究室806,学校等,研究室,25,4.2,2.7,■,,■,■,
8F,共同研究室807,学校等,研究室,25,4.2,2.7,■,,■,■,
8F,共同研究室808,学校等,研究室,25,4.2,2.7,■,,■,■,
8F,共同研究室809,学校等,研究室,25,4.2,2.7,■,,■,■,
8F,共同研究室810,学校等,研究室,25,4.2,2.7,■,,■,■,
8F,共同研究室811,学校等,研究室,25,4.2,2.7,■,,■,■,
8F,共同研究室812,学校等,研究室,22,4.2,2.7,■,,■,■,
8F,ミーティングブース1,学校等,事務室,46,8.4,6.9,■,,■,,
8F,倉庫3,学校等,湯沸室等,6,4.2,2.7,,■,■,,
8F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.2,2.7,,■,■,,
8F,ラウンジ6,学校等,大学教室,14.3,4.2,2.7,■,,■,,
8F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,■,,■,,
8F,非EVロビー兼用付室,学校等,大学教室,25,4.2,2.7,■,,■,,
8F,男WC4,学校等,便所,18,4.2,2.4,,■,■,,
8F,女WC4,学校等,便所,22,4.2,2.4,,■,■,,
9F,共同研究室901,学校等,研究室,48,4.2,2.7,■,,■,■,
9F,共同研究室902,学校等,研究室,51,4.2,2.7,■,,■,■,
9F,共同研究室903,学校等,研究室,51,4.2,2.7,■,,■,■,
9F,共同研究室904,学校等,研究室,24,4.2,2.7,■,,■,■,
9F,共同研究室905,学校等,研究室,51,4.2,2.7,■,,■,■,
9F,共同研究室906,学校等,研究室,25,4.2,2.7,■,,■,■,
9F,共同研究室907,学校等,研究室,25,4.2,2.7,■,,■,■,
9F,共同研究室908,学校等,研究室,25,4.2,2.7,■,,■,■,
9F,共同研究室909,学校等,研究室,25,4.2,2.7,■,,■,■,
9F,共同研究室910,学校等,研究室,25,4.2,2.7,■,,■,■,
9F,共同研究室911,学校等,研究室,25,4.2,2.7,■,,■,■,
9F,共同研究室912,学校等,研究室,22,4.2,2.7,■,,■,■,
9F,倉庫3,学校等,湯沸室等,6,4.2,2.7,,■,■,,
9F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.2,2.7,,■,■,,
9F,ラウンジ6,学校等,大学教室,14.3,4.2,2.7,■,,■,,
9F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,■,,■,,
9F,非EVロビー兼用付室,学校等,大学教室,25,4.2,2.7,■,,■,,
9F,男WC4,学校等,便所,18,4.2,2.4,,■,■,,
9F,女WC4,学校等,便所,22,4.2,2.4,,■,■,,
10F,院生用共同研究室1001,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,院生用共同研究室1002,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,院生用共同研究室1003,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,院生用共同研究室1004,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,院生用共同研究室1005,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,大学院共同演習室1006,学校等,研究室,50,4.2,2.7,■,,■,■,
10F,共同研究室1007,学校等,研究室,51,4.2,2.7,■,,■,■,
10F,共同研究室1008,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,共同研究室1009,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,共同研究室1010,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,共同研究室1011,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,共同研究室1012,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,院生用共同研究室1013,学校等,研究室,25,4.2,2.7,■,,■,■,
10F,院生用共同研究室1014,学校等,研究室,22,4.2,2.7,■,,■,■,
10F,倉庫3,学校等,湯沸室等,6,4.2,2.7,,■,■,,
10F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.2,2.7,,■,■,,
10F,ミーティングブース1,学校等,事務室,60,8.4,6.9,■,,■,,
10F,ラウンジ6,学校等,大学教室,14.3,4.2,2.7,■,,■,,
10F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,■,,■,,
10F,非EVロビー兼用付室,学校等,大学教室,25,4.2,2.7,■,,■,,
10F,男WC4,学校等,便所,18,4.2,2.4,,■,■,,
10F,女WC4,学校等,便所,22,4.2,2.4,,■,■,,
