様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
14F,院生用共同研究室1410,東,,,ＯＷ1,13.4,WNDW1,6.7,有
14F,共通談話室,東,,,ＯＷ1,78.7,WNDW2,39.4,有
,,南,,,ＯＷ1,101.6,WNDW2,50.8,有
14F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
14F,ラウンジ6流し,,,,ＯＷ1,,,,
14F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
15F,院生共同研究室1501,西,,,ＯＷ1,53.6,WNDW1,26.8,有
15F,院生用共同研究室1502,西,,,ＯＷ1,13.4,WNDW1,6.7,有
15F,大学院共同研究室1503,西,,,ＯＷ1,26.8,WNDW1,13.4,有
15F,院生用共同研究室1504,東,,,ＯＷ1,26.8,WNDW1,13.4,有
,,北,,,ＯＷ1,33.6,,,
15F,院生用共同研究室1505,東,,,ＯＷ1,13.4,WNDW1,6.7,有
15F,院生用共同研究室1506,東,,,ＯＷ1,13.4,WNDW1,6.7,有
15F,院生用共同研究室1507,東,,,ＯＷ1,13.4,WNDW1,6.7,有
15F,院生用共同研究室1508,東,,,ＯＷ1,13.4,WNDW1,6.7,有
15F,院生用共同研究室1509,東,,,ＯＷ1,13.4,WNDW1,6.7,有
15F,院生用共同研究室1510,東,,,ＯＷ1,13.4,WNDW1,6.7,有
15F,院生用共同研究室1511,東,,,ＯＷ1,13.4,WNDW1,6.7,有
15F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
15F,ラウンジ6流し,,,,,,,,
15F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
16F,研究室1601,西,,,ＯＷ1,53.6,WNDW1,26.8,有
16F,研究室1602,西,,,ＯＷ1,40.2,WNDW1,20.1,有
16F,研究室1603,東,,,ＯＷ1,40.2,WNDW1,20.1,有
,,北,,,ＯＷ1,33.6,,,
,,水平,,,OＲ1,6.4,,,
16F,研究室1604,東,,,ＯＷ1,40.2,WNDW1,20.1,有
,,水平,,,OＲ1,19.2,,,
16F,研究室1605,東,,,ＯＷ1,40.2,WNDW1,20.1,有
,,水平,,,OＲ1,19.2,,,
16F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
16F,ラウンジ6流し,,,,,,,,
16F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
17F,会議室1701,西,,,ＯＷ1,55,WNDW1,27.5,有
,,水平,,,OＲ1,97,,,
17F,パントリー,水平,,,OＲ1,14,,,
17F,国際交流ラウンジ,東,,,ＯＷ1,36.6,WNDW1,23,有
,,東,,,ＯＷ1,70.7,WNDW2,60.8,有
,,北,,,ＯＷ1,139.5,WNDW2,120,有
,,南,,,ＯＷ1,18.6,WNDW2,5.4,有
,,南,,,ＯＷ1,40,,,
,,西,,,ＯＷ1,32.5,,,
,,水平,,,OＲ1,143,,,
17F,会議室兼プレゼンテーションルーム,東,,,ＯＷ1,41.3,WNDW1,20.4,有
,,水平,,,OＲ1,59,,,
17F,応接室,東,,,ＯＷ1,27.5,WNDW1,13.6,有
,,水平,,,OＲ1,30,,,
17F,ラウンジ7,南,,,ＯＷ1,28.8,WNDW1,18.8,有
,,水平,,,OＲ1,15,,,
17F,非EVロビー兼用付室,西,,,ＯＷ1,12,WNDW3,4.3,有
,,水平,,,OＲ1,25,,,
17F,男WC5,西,,,ＯＷ1,13.8,WNDW1,6.8,有
,,水平,,,OＲ1,18,,,
17F,女WC5,西,,,ＯＷ1,27.5,WNDW1,13.6,有
,,,,,,,,,
