記号,説明,樹脂,,,,複合,,,,アルミ,,,,ガラス,,,
,,Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ug,Ugs(明色BL),ηg,ηgs(明色BL)
3LsA13,三層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層13mm）,1.9,1.8,0.27,0.21,2.3,2.1,0.3,0.23,2.6,2.4,0.3,0.23,1.3,1.3,0.37,0.29
3LsA14,三層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層14mm）,1.9,1.8,0.27,0.21,2.2,2.1,0.3,0.23,2.6,2.3,0.3,0.23,1.3,1.2,0.37,0.29
3LsA15,三層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層15mm）,1.9,1.7,0.27,0.21,2.2,2,0.3,0.23,2.6,2.3,0.3,0.23,1.3,1.2,0.37,0.29
3LsA16,三層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層16mm）,1.8,1.7,0.27,0.21,2.2,2,0.3,0.23,2.5,2.3,0.3,0.23,1.2,1.2,0.37,0.29
3FA06,三層ガラス（Lowεなし、空気層6mm）,2.5,2.3,0.52,0.38,3,2.7,0.58,0.42,3.3,3,0.58,0.42,2.3,2.2,0.72,0.53
3FA07,三層ガラス（Lowεなし、空気層7mm）,2.4,2.3,0.52,0.38,2.9,2.6,0.58,0.42,3.2,2.9,0.58,0.42,2.2,2.1,0.72,0.53
3FA08,三層ガラス（Lowεなし、空気層8mm）,2.4,2.2,0.52,0.38,2.8,2.6,0.58,0.42,3.2,2.9,0.58,0.42,2.1,2,0.72,0.53
3FA09,三層ガラス（Lowεなし、空気層9mm）,2.3,2.2,0.52,0.38,2.8,2.5,0.58,0.42,3.1,2.8,0.58,0.42,2.1,1.9,0.72,0.53
3FA10,三層ガラス（Lowεなし、空気層10mm）,2.3,2.1,0.52,0.38,2.7,2.5,0.58,0.42,3.1,2.8,0.58,0.42,2,1.9,0.72,0.53
3FA11,三層ガラス（Lowεなし、空気層11mm）,2.3,2.1,0.52,0.38,2.7,2.5,0.58,0.42,3,2.7,0.58,0.42,2,1.8,0.72,0.53
3FA12,三層ガラス（Lowεなし、空気層12mm）,2.2,2.1,0.52,0.38,2.6,2.4,0.58,0.42,3,2.7,0.58,0.42,1.9,1.8,0.72,0.53
3FA13,三層ガラス（Lowεなし、空気層13mm）,2.2,2.1,0.52,0.38,2.6,2.4,0.58,0.42,3,2.7,0.58,0.42,1.9,1.8,0.72,0.53
3FA14,三層ガラス（Lowεなし、空気層14mm）,2.2,2,0.52,0.38,2.6,2.4,0.58,0.42,2.9,2.7,0.58,0.42,1.8,1.7,0.72,0.53
3FA15,三層ガラス（Lowεなし、空気層15mm）,2.2,2,0.52,0.38,2.6,2.4,0.58,0.42,2.9,2.6,0.58,0.42,1.8,1.7,0.72,0.53
3FA16,三層ガラス（Lowεなし、空気層16mm）,2.2,2,0.52,0.38,2.6,2.3,0.58,0.42,2.9,2.6,0.58,0.42,1.8,1.7,0.72,0.53
2LgG06,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層6mm）,2.5,2.3,0.46,0.34,3,2.7,0.51,0.38,3.3,3,0.51,0.38,2.2,2.1,0.64,0.47
2LgG07,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層7mm）,2.4,2.2,0.46,0.34,2.8,2.6,0.51,0.38,3.2,2.9,0.51,0.38,2.1,1.9,0.64,0.47
2LgG08,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層8mm）,2.3,2.1,0.46,0.34,2.7,2.5,0.51,0.38,3.1,2.8,0.51,0.38,1.9,1.8,0.64,0.47
2LgG09,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層9mm）,2.2,2.1,0.46,0.34,2.6,2.4,0.51,0.38,3,2.7,0.51,0.38,1.8,1.7,0.64,0.47
2LgG10,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層10mm）,2.2,2,0.46,0.34,2.6,2.3,0.51,0.38,2.9,2.7,0.51,0.38,1.7,1.6,0.64,0.47
2LgG11,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層11mm）,2.1,2,0.46,0.34,2.5,2.3,0.51,0.38,2.9,2.6,0.51,0.38,1.6,1.5,0.64,0.47
2LgG12,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層12mm）,2.1,1.9,0.46,0.34,2.4,2.2,0.51,0.38,2.8,2.5,0.51,0.38,1.6,1.5,0.64,0.47
2LgG13,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層13mm）,2,1.9,0.46,0.34,2.4,2.2,0.51,0.38,2.7,2.5,0.51,0.38,1.5,1.4,0.64,0.47
2LgG14,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層14mm）,2,1.9,0.46,0.34,2.3,2.2,0.51,0.38,2.7,2.5,0.51,0.38,1.4,1.4,0.64,0.47
2LgG15,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層15mm）,2,1.8,0.46,0.34,2.3,2.1,0.51,0.38,2.7,2.4,0.51,0.38,1.4,1.3,0.64,0.47
2LgG16,二層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層16mm）,2,1.8,0.46,0.34,2.3,2.1,0.51,0.38,2.7,2.4,0.51,0.38,1.4,1.3,0.64,0.47
2LsG06,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層6mm）,2.5,2.3,0.29,0.22,3,2.7,0.32,0.25,3.3,3,0.32,0.25,2.2,2.1,0.4,0.31
2LsG07,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層7mm）,2.4,2.2,0.29,0.22,2.8,2.6,0.32,0.25,3.2,2.9,0.32,0.25,2.1,1.9,0.4,0.31
2LsG08,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層8mm）,2.3,2.1,0.29,0.22,2.7,2.5,0.32,0.25,3.1,2.8,0.32,0.25,1.9,1.8,0.4,0.31
2LsG09,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層9mm）,2.2,2.1,0.29,0.22,2.6,2.4,0.32,0.25,3,2.7,0.32,0.25,1.8,1.7,0.4,0.31
2LsG10,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層10mm）,2.2,2,0.29,0.22,2.6,2.3,0.32,0.25,2.9,2.7,0.32,0.25,1.7,1.6,0.4,0.31
2LsG11,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層11mm）,2.1,2,0.29,0.22,2.5,2.3,0.32,0.25,2.9,2.6,0.32,0.25,1.6,1.5,0.4,0.31
2LsG12,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層12mm）,2.1,1.9,0.29,0.22,2.4,2.2,0.32,0.25,2.8,2.5,0.32,0.25,1.6,1.5,0.4,0.31
2LsG13,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層13mm）,2,1.9,0.29,0.22,2.4,2.2,0.32,0.25,2.7,2.5,0.32,0.25,1.5,1.4,0.4,0.31
2LsG14,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層14mm）,2,1.9,0.29,0.22,2.3,2.2,0.32,0.25,2.7,2.5,0.32,0.25,1.4,1.4,0.4,0.31
2LsG15,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層15mm）,2,1.8,0.29,0.22,2.3,2.1,0.32,0.25,2.7,2.4,0.32,0.25,1.4,1.3,0.4,0.31
2LsG16,二層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層16mm）,2,1.8,0.29,0.22,2.3,2.1,0.32,0.25,2.7,2.4,0.32,0.25,1.4,1.3,0.4,0.31
2LgA06,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層6mm）,2.8,2.6,0.46,0.34,3.3,3,0.51,0.38,3.7,3.3,0.51,0.38,2.6,2.4,0.64,0.47
2LgA07,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層7mm）,2.7,2.5,0.46,0.34,3.1,2.8,0.51,0.38,3.5,3.2,0.51,0.38,2.4,2.3,0.64,0.47
