ブラインド内側一般窓の熱性能,,,,熱貫流率[W/m2K],,日射熱取得率[-],,,
No.,タイプ,ガラス品種,板厚[ミリ],ガラスのみ,ブラインドあり,ガラスのみ,明色ブラインド,中間色ブラインド,暗色ブラインド
323,複層（空気層12mm）,高透過+高透過,6,2.84,2.38,0.828,0.48,0.552,0.617
324,複層（空気層12mm）,高透過+高透過,8,2.8,2.36,0.821,0.479,0.549,0.613
325,複層（空気層12mm）,高透過+高透過,10,2.77,2.34,0.814,0.477,0.546,0.608
326,複層（空気層12mm）,高透過+高透過,12,2.74,2.32,0.808,0.476,0.543,0.605
331,複層（空気層12mm）,熱吸グリーン+透明,6,2.84,2.38,0.473,0.307,0.335,0.36
332,複層（空気層12mm）,熱吸グリーン+透明,8,2.8,2.36,0.413,0.277,0.298,0.318
333,複層（空気層12mm）,熱吸グリーン+透明,10,2.77,2.34,0.368,0.254,0.271,0.286
334,複層（空気層12mm）,熱吸グリーン+透明,12,2.74,2.32,0.333,0.236,0.249,0.262
341,複層（空気層12mm）,熱反シルバー+透明,6,2.84,2.38,0.614,0.401,0.44,0.476
342,複層（空気層12mm）,熱反シルバー+透明,8,2.8,2.36,0.586,0.39,0.425,0.457
343,複層（空気層12mm）,熱反シルバー+透明,10,2.77,2.34,0.559,0.379,0.41,0.439
344,複層（空気層12mm）,熱反シルバー+透明,12,2.74,2.32,0.535,0.368,0.396,0.421
351,複層（空気層12mm）,可視光透過率40%+透明,6,2.75,2.32,0.383,0.266,0.285,0.303
352,複層（空気層12mm）,可視光透過率40%+透明,8,2.72,2.3,0.37,0.261,0.278,0.293
353,複層（空気層12mm）,可視光透過率40%+透明,10,2.69,2.28,0.358,0.256,0.271,0.285
354,複層（空気層12mm）,可視光透過率40%+透明,12,2.66,2.26,0.346,0.251,0.264,0.277
355,複層（空気層12mm）,可視光透過率30%+透明,6,2.66,2.26,0.29,0.21,0.223,0.233
356,複層（空気層12mm）,可視光透過率30%+透明,8,2.63,2.24,0.282,0.207,0.218,0.228
357,複層（空気層12mm）,可視光透過率30%+透明,10,2.61,2.22,0.275,0.204,0.214,0.223
358,複層（空気層12mm）,可視光透過率30%+透明,12,2.58,2.2,0.267,0.201,0.209,0.217
359,複層（空気層12mm）,可視光透過率20%+透明,6,2.52,2.16,0.221,0.167,0.175,0.182
360,複層（空気層12mm）,可視光透過率20%+透明,8,2.5,2.14,0.216,0.166,0.173,0.179
361,複層（空気層12mm）,可視光透過率20%+透明,10,2.47,2.12,0.211,0.164,0.17,0.175
362,複層（空気層12mm）,可視光透過率20%+透明,12,2.45,2.1,0.207,0.162,0.168,0.173
363,複層（空気層12mm）,可視光透過率8%+透明,6,2.32,2.01,0.134,0.107,0.111,0.114
364,複層（空気層12mm）,可視光透過率8%+透明,8,2.3,1.99,0.134,0.108,0.111,0.114
365,複層（空気層12mm）,可視光透過率8%+透明,10,2.28,1.98,0.133,0.108,0.111,0.113
366,複層（空気層12mm）,可視光透過率8%+透明,12,2.26,1.96,0.132,0.109,0.111,0.113
381,複層（空気層12mm）,セラミック印刷(白面積30%）+透明,6,2.84,2.38,0.591,0.387,0.424,0.457
382,複層（空気層12mm）,セラミック印刷(白面積30%）+透明,8,2.8,2.36,0.566,0.378,0.41,0.44
383,複層（空気層12mm）,セラミック印刷(白面積30%）+透明,10,2.77,2.34,0.542,0.368,0.397,0.424
384,複層（空気層12mm）,セラミック印刷(白面積30%）+透明,12,2.74,2.32,0.521,0.359,0.385,0.409
385,複層（空気層12mm）,セラミック印刷(白面積50%）+透明,6,2.84,2.38,0.494,0.336,0.363,0.388
386,複層（空気層12mm）,セラミック印刷(白面積50%）+透明,8,2.8,2.36,0.475,0.328,0.352,0.374
387,複層（空気層12mm）,セラミック印刷(白面積50%）+透明,10,2.77,2.34,0.456,0.319,0.341,0.361
388,複層（空気層12mm）,セラミック印刷(白面積50%）+透明,12,2.74,2.32,0.439,0.312,0.331,0.349
389,複層（空気層12mm）,セラミック印刷(白面積70%）+透明,6,2.84,2.38,0.396,0.28,0.299,0.316
390,複層（空気層12mm）,セラミック印刷(白面積70%）+透明,8,2.8,2.36,0.382,0.274,0.29,0.305
391,複層（空気層12mm）,セラミック印刷(白面積70%）+透明,10,2.77,2.34,0.369,0.267,0.282,0.296
392,複層（空気層12mm）,セラミック印刷(白面積70%）+透明,12,2.74,2.32,0.357,0.261,0.275,0.287
393,複層（空気層12mm）,セラミック印刷(白面積100%）+透明,6,2.84,2.38,0.246,0.187,0.194,0.201
394,複層（空気層12mm）,セラミック印刷(白面積100%）+透明,8,2.8,2.36,0.241,0.184,0.191,0.197
395,複層（空気層12mm）,セラミック印刷(白面積100%）+透明,10,2.77,2.34,0.235,0.181,0.187,0.193
396,複層（空気層12mm）,セラミック印刷(白面積100%）+透明,12,2.74,2.32,0.231,0.179,0.184,0.19
401,複層（空気層12mm）,Low-E（高日射遮蔽型）+透明,6,1.63,1.47,0.302,0.235,0.247,0.258
402,複層（空気層12mm）,Low-E（高日射遮蔽型）+透明,8,1.62,1.46,0.299,0.235,0.246,0.256
403,複層（空気層12mm）,Low-E（高日射遮蔽型）+透明,10,1.61,1.45,0.295,0.234,0.245,0.254
404,複層（空気層12mm）,Low-E（高日射遮蔽型）+透明,12,1.6,1.44,0.291,0.233,0.242,0.251
405,複層（空気層12mm）,Low-E（日射遮蔽型）+透明,6,1.69,1.51,0.408,0.301,0.322,0.341
406,複層（空気層12mm）,Low-E（日射遮蔽型）+透明,8,1.68,1.51,0.401,0.301,0.32,0.337
407,複層（空気層12mm）,Low-E（日射遮蔽型）+透明,10,1.67,1.5,0.393,0.299,0.316,0.332
408,複層（空気層12mm）,Low-E（日射遮蔽型）+透明,12,1.66,1.49,0.381,0.294,0.309,0.323
409,複層（空気層12mm）,Low-E（日射取得型）+透明,6,1.77,1.58,0.562,0.39,0.426,0.458
410,複層（空気層12mm）,Low-E（日射取得型）+透明,8,1.76,1.57,0.543,0.385,0.417,0.445
411,複層（空気層12mm）,Low-E（日射取得型）+透明,10,1.75,1.56,0.524,0.378,0.407,0.432
412,複層（空気層12mm）,Low-E（日射取得型）+透明,12,1.74,1.55,0.507,0.372,0.397,0.42
413,複層（空気層12mm）,Low-E（高日射取得型）+透明,6,1.88,1.67,0.635,0.423,0.467,0.508
414,複層（空気層12mm）,Low-E（高日射取得型）+透明,8,1.87,1.66,0.609,0.416,0.455,0.491
415,複層（空気層12mm）,Low-E（高日射取得型）+透明,10,1.85,1.65,0.584,0.408,0.443,0.474
416,複層（空気層12mm）,Low-E（高日射取得型）+透明,12,1.84,1.63,0.562,0.401,0.431,0.459
451,複層（空気層12mm）,透明+Low-E（日射取得型）,6,1.77,1.58,0.613,0.442,0.475,0.505
452,複層（空気層12mm）,透明+Low-E（日射取得型）,8,1.76,1.57,0.586,0.428,0.458,0.485
453,複層（空気層12mm）,透明+Low-E（日射取得型）,10,1.75,1.56,0.559,0.414,0.44,0.464
454,複層（空気層12mm）,透明+Low-E（日射取得型）,12,1.74,1.55,0.535,0.4,0.424,0.446
455,複層（空気層12mm）,透明+Low-E（高日射取得型）,6,1.88,1.67,0.695,0.486,0.527,0.564
456,複層（空気層12mm）,透明+Low-E（高日射取得型）,8,1.87,1.66,0.663,0.471,0.507,0.541
457,複層（空気層12mm）,透明+Low-E（高日射取得型）,10,1.85,1.65,0.631,0.456,0.488,0.517
458,複層（空気層12mm）,透明+Low-E（高日射取得型）,12,1.84,1.63,0.603,0.441,0.47,0.496
503,複層（アルゴン層6mm）,透明+透明,6,3.03,2.5,0.729,0.449,0.501,0.55
504,複層（アルゴン層6mm）,透明+透明,8,3,2.47,0.693,0.437,0.483,0.526
505,複層（アルゴン層6mm）,透明+透明,10,2.96,2.45,0.656,0.424,0.464,0.501
506,複層（アルゴン層6mm）,透明+透明,12,2.93,2.42,0.624,0.411,0.447,0.48
523,複層（アルゴン層6mm）,高透過+高透過,6,3.03,2.5,0.827,0.477,0.548,0.613
524,複層（アルゴン層6mm）,高透過+高透過,8,3,2.47,0.82,0.476,0.545,0.608
525,複層（アルゴン層6mm）,高透過+高透過,10,2.96,2.45,0.814,0.474,0.542,0.604
526,複層（アルゴン層6mm）,高透過+高透過,12,2.93,2.42,0.808,0.472,0.539,0.6
531,複層（アルゴン層6mm）,熱吸グリーン+透明,6,3.03,2.5,0.476,0.308,0.335,0.36
532,複層（アルゴン層6mm）,熱吸グリーン+透明,8,3,2.47,0.417,0.278,0.299,0.319
533,複層（アルゴン層6mm）,熱吸グリーン+透明,10,2.96,2.45,0.372,0.256,0.272,0.287
534,複層（アルゴン層6mm）,熱吸グリーン+透明,12,2.93,2.42,0.338,0.238,0.251,0.263
541,複層（アルゴン層6mm）,熱反シルバー+透明,6,3.03,2.5,0.613,0.397,0.436,0.472
542,複層（アルゴン層6mm）,熱反シルバー+透明,8,3,2.47,0.585,0.386,0.421,0.453
543,複層（アルゴン層6mm）,熱反シルバー+透明,10,2.96,2.45,0.558,0.375,0.406,0.435
544,複層（アルゴン層6mm）,熱反シルバー+透明,12,2.93,2.42,0.533,0.364,0.392,0.417
551,複層（アルゴン層6mm）,可視光透過率40%+透明,6,2.95,2.44,0.388,0.268,0.287,0.304
552,複層（アルゴン層6mm）,可視光透過率40%+透明,8,2.92,2.42,0.375,0.262,0.279,0.294
