様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,(任意の文字列),(選択),(選択),[m],[m],[m],[m],[㎡],(選択),(選択),(選択),(選択),
(任意),(必須),(必須),(必須),(必須),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(任意)
4F,ﾂｲﾝ(W)UB,ホテル等,客室(洗面）,3.15,2.4,1.85,1.5,2.78,,,,,
4F,ｼﾝｸﾞﾙ(W1),ホテル等,客室,3.15,2.4,,,12.9,,,,,
4F,ｼﾝｸﾞﾙ(W1)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
4F,ｼﾝｸﾞﾙ(W2),ホテル等,客室,3.15,2.4,,,12.9,,,,,
4F,ｼﾝｸﾞﾙ(W2)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
4F,ｼﾝｸﾞﾙ(W3),ホテル等,客室,3.15,2.4,,,12.9,,,,,
4F,ｼﾝｸﾞﾙ(W3)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
4F,ｼﾝｸﾞﾙ(NW),ホテル等,客室,3.15,2.4,,,14,,,,,
4F,ｼﾝｸﾞﾙ(NW)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
4F,PS(中央1),ホテル等,電気・機械室（標準）,3.15,2.4,,,2,,,,,
4F,PS(中央2),ホテル等,電気・機械室（標準）,3.15,2.4,2.1,0.7,1.47,,,,,
4F,PS(N),ホテル等,電気・機械室（標準）,3.15,2.4,1.23,0.7,0.86,,,,,
4F,EVﾎｰﾙ,ホテル等,ロビー（終日）,3.15,2.4,,,22.2,,,,,
4F,廊下,ホテル等,廊下（終日）,3.15,2.4,,,25.2,,,,,
4F,ｼﾝｸﾞﾙ(NE),ホテル等,客室,3.15,2.4,,,14.2,,,,,
4F,ｼﾝｸﾞﾙ(NE)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
4F,ｼﾝｸﾞﾙ(E1),ホテル等,客室,3.15,2.4,,,13,,,,,
4F,ｼﾝｸﾞﾙ(E1)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
4F,自販機,ホテル等,廊下（終日）,3.15,2.4,2.1,2.5,5.25,,,,,
4F,ﾘﾈﾝ室,ホテル等,湯沸室等,3.15,2.4,,,10.3,,,,,
4F,PS(E),ホテル等,電気・機械室（標準）,3.15,2.4,1.3,1.93,2.51,,,,,
4F,ﾂｲﾝ(E),ホテル等,客室,3.15,2.4,,,20.4,,,,,
