様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭,
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御,
,,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択),
,,,,,,,,,,,,,,,,,,,,
2F,留学生特別室,学校等,事務室,16.5,,2.7,,,1,ベーシックベースライト(調光可能),Ca322C,72,4,,,,,,,
,,,,,,,,,,流し元灯,N21,24,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
2F,資料室,学校等,事務室,46.75,,2.7,,,1.8,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
2F,留学生ラウンジ,学校等,教室（大学）,69,,2.7,,,2.1,ベーシックベースライト(調光可能),Ca322C,72,10,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,24,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,5,,,,,,,
,,,,,,,,,,廊下通路誘導灯(壁埋込型),Yc11E,4,3,,,,,,,
2F,ラウンジ2,学校等,教室（大学）,67.5,,2.7,,,1.4,ダウンライト,aL141,16,29,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
,,,,,,,,,,廊下通路誘導灯(壁埋込型),Yc11E,2.4,1,,,,,,,
2F,倉庫3,学校等,湯沸室等,10.5,,2.7,,,0.6,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
2F,ゴミコーナー1,学校等,厨芥置き場等,5.25,,2.7,,,0.4,ダウンライト,aL141,16,21,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
2F,給湯2,学校等,湯沸室等,3.75,,2.7,,,0.3,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,流し元灯,N21,24,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
2F,倉庫4,学校等,湯沸室等,3,,2.7,,,0.3,埋込下面開放,A322,42,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
2F,非EVロビー兼用付室,学校等,教室（大学）,21.25,,2.7,,,0.7,ダウンライト,aL141,16,6,,,,,,,
