１　室リスト,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,空調計算対象室,照明計算対象室,換気計算対象室,給湯計算対象室
,,,,,,,,,,,,,,
,,,,,,照明計算用,照明計算用,,,,,,,
階,* 室名,* 建物用途,* 室用途,* 階高,* 天井高,室の間口 ※,室の奥行 ※,* 室面積,備考欄,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,[m],[m],[m],[m],[㎡],,,,,,
8F,男子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
8F,EPS,事務所等,電気・機械室（標準）,4,4,6.1,1,6.1,,,,●,,
8F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4,4,1.9,1,1.9,,,,●,,
8F,ＰＳ2,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
8F,女子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
8F,多目的便所,事務所等,トイレ,4,2.4,2,2,4,,,,●,●,
8F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,4,2.4,2.2,3.2,7,,,,●,●,
8F,倉庫2,事務所等,更衣室等,4,2.4,,,6.6,,,,●,●,
8F,機械室2,事務所等,電気・機械室（標準）,4,4,3.6,7,25.2,,,,●,,
8F,階段室S,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
9F,9F食堂,事務所等,食堂,4,2.6,,,520.4,,,●,●,●,●
9F,厨房,事務所等,厨房,4,2.6,,,102.6,,,,●,●,●
9F,9FEVﾎｰﾙ,事務所等,ロビー,4,2.4,11,3.4,37.4,,,●,●,,
9F,廊下,事務所等,廊下,4,2.4,,,88.6,,,,●,,
9F,階段室Ｎ,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
9F,乗降ﾛﾋﾞｰ,事務所等,ロビー,4,2.4,2.6,4.3,11.2,,,,●,,
9F,ＤＳ,事務所等,電気・機械室（標準）,4,4,1,7,7,,,,●,,
9F,機械室1,事務所等,電気・機械室（標準）,4,4,3.2,7,22.4,,,,●,,
9F,ＰＳ1,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
9F,男子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
9F,EPS,事務所等,電気・機械室（標準）,4,4,6.1,1,6.1,,,,●,,
9F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4,4,1.9,1,1.9,,,,●,,
9F,ＰＳ2,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
9F,女子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
9F,多目的便所,事務所等,トイレ,4,2.4,2,2,4,,,,●,●,
9F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,4,2.4,2.2,3.2,7,,,,●,●,
9F,倉庫2,事務所等,更衣室等,4,2.4,,,6.6,,,,●,●,
9F,機械室2,事務所等,電気・機械室（標準）,4,4,3.6,7,25.2,,,,●,,
9F,階段室S,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
PHF,EV機械室,事務所等,電気・機械室（標準）,4,4,6,8,48,,,,●,●,
PHF,非常用EV機械室,事務所等,電気・機械室（標準）,4,4,7.2,4,28.8,,,,●,●,
