様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,
①,①,①,①,①,①,①,②,②,③,④
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理
,,,,,,,,,,
,,,,[㎡],[m],[m],,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記)
,,,,,,,,,,
4F,客室S11,ホテル等,客室,12.6,3.8,2.6,4F,客室S11,FCU3-411,OHU-4
4F,客室S12,ホテル等,客室,12.6,3.8,2.6,4F,客室S12,FCU3-412,OHU-4
4F,客室S13,ホテル等,客室,12.6,3.8,2.6,4F,客室S13,FCU3-413,OHU-4
4F,客室S14,ホテル等,客室,12.6,3.8,2.6,4F,客室S14,FCU3-414,OHU-4
4F,客室S15,ホテル等,客室,12.6,3.8,2.6,4F,客室S15,FCU3-415,OHU-4
4F,客室S16,ホテル等,客室,12.6,3.8,2.6,4F,客室S16,FCU3-416,OHU-4
4F,客室S17,ホテル等,客室,12.6,3.8,2.6,4F,客室S17,FCU3-417,OHU-4
4F,客室S18,ホテル等,客室,12.6,3.8,2.6,4F,客室S18,FCU3-418,OHU-4
4F,客室S19,ホテル等,客室,12.6,3.8,2.6,4F,客室S19,FCU3-419,OHU-4
4F,客室S20,ホテル等,客室,12.6,3.8,2.6,4F,客室S20,FCU3-420,OHU-4
4F,客室S21,ホテル等,客室,12.6,3.8,2.6,4F,客室S21,FCU3-421,OHU-4
4F,客室S22,ホテル等,客室,12.6,3.8,2.6,4F,客室S22,FCU3-422,OHU-4
4F,客室S23,ホテル等,客室,12.6,3.8,2.6,4F,客室S23,FCU3-423,OHU-4
4F,客室S24,ホテル等,客室,12.6,3.8,2.6,4F,客室S24,FCU3-424,OHU-4
4F,客室W01,ホテル等,客室,23.4,3.8,2.6,4F,客室W01,FCU4-401,OHU-4
4F,客室W02,ホテル等,客室,23.4,3.8,2.6,4F,客室W02,FCU4-402,OHU-4
4F,客室W03,ホテル等,客室,23.4,3.8,2.6,4F,客室W03,FCU4-403,OHU-4
4F,客室W04,ホテル等,客室,23.4,3.8,2.6,4F,客室W04,FCU4-404,OHU-4
4F,客室W05,ホテル等,客室,23.4,3.8,2.6,4F,客室W05,FCU4-405,OHU-4
4F,客室W06,ホテル等,客室,23.4,3.8,2.6,4F,客室W06,FCU4-406,OHU-4
4F,客室W07,ホテル等,客室,23.4,3.8,2.6,4F,客室W07,FCU4-407,OHU-4
4F,客室W08,ホテル等,客室,23.4,3.8,2.6,4F,客室W08,FCU4-408,OHU-4
4F,客室W09,ホテル等,客室,23.4,3.8,2.6,4F,客室W09,FCU4-409,OHU-4
4F,客室W10,ホテル等,客室,23.4,3.8,2.6,4F,客室W10,FCU4-410,OHU-4
4F,客室W11,ホテル等,客室,23.4,3.8,2.6,4F,客室W11,FCU4-411,OHU-4
4F,客室W12,ホテル等,客室,23.4,3.8,2.6,4F,客室W12,FCU4-412,OHU-4
4F,客室W13,ホテル等,客室,23.4,3.8,2.6,4F,客室W13,FCU4-413,OHU-4
4F,客室W14,ホテル等,客室,23.4,3.8,2.6,4F,客室W14,FCU4-414,OHU-4
4F,客室W15,ホテル等,客室,23.4,3.8,2.6,4F,客室W15,FCU4-415,OHU-4
4F,客室W16,ホテル等,客室,23.4,3.8,2.6,4F,客室W16,FCU4-416,OHU-4
4F,客室W17,ホテル等,客室,23.4,3.8,2.6,4F,客室W17,FCU4-417,OHU-4
4F,客室W18,ホテル等,客室,23.4,3.8,2.6,4F,客室W18,FCU4-418,OHU-4
4F,客室W19,ホテル等,客室,23.4,3.8,2.6,4F,客室W19,FCU4-419,OHU-4
4F,客室W20,ホテル等,客室,23.4,3.8,2.6,4F,客室W20,FCU4-420,OHU-4
5F,EVホール,ホテル等,終日利用される廊下,24,3.8,2.6,5F,EVホール,FCU2-5,OHU-5
5F,リネン室,ホテル等,更衣室又は倉庫,21,3.8,2.4,5F,リネン室,FCU1-5,OHU-5
5F,客室S01,ホテル等,客室,12.6,3.8,2.6,5F,客室S01,FCU3-501,OHU-5
5F,客室S02,ホテル等,客室,12.6,3.8,2.6,5F,客室S02,FCU3-502,OHU-5
5F,客室S03,ホテル等,客室,12.6,3.8,2.6,5F,客室S03,FCU3-503,OHU-5
5F,客室S04,ホテル等,客室,12.6,3.8,2.6,5F,客室S04,FCU3-504,OHU-5
5F,客室S05,ホテル等,客室,12.6,3.8,2.6,5F,客室S05,FCU3-505,OHU-5
5F,客室S06,ホテル等,客室,12.6,3.8,2.6,5F,客室S06,FCU3-506,OHU-5
