様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
3F,客室W19UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W20UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
4F,EVホール,ホテル等,終日利用される廊下,24,3.8,2.6,■,,,,
4F,ES,ホテル等,機械室,12,3.8,3.8,,,,,
4F,自販機コーナー,ホテル等,終日利用される廊下,7.8,3.8,2.4,,,,,
4F,リネン室,ホテル等,更衣室又は倉庫,21,3.8,2.4,■,,,,
4F,階段1,ホテル等,終日利用される廊下,20.4,3.8,3.8,,,,,
4F,屋外階段1,ホテル等,終日利用される廊下,19.5,3.8,3.8,,,,,
4F,屋外階段2,ホテル等,終日利用される廊下,19.5,3.8,3.8,,,,,
4F,廊下1,ホテル等,終日利用される廊下,192,3.8,2.4,,,,,
4F,客室S01,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S02,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S03,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S04,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S05,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S06,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S07,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S08,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S09,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S10,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S11,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S12,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S13,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S14,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S15,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S16,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S17,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S18,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S19,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S20,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S21,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S22,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S23,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S24,ホテル等,客室,12.6,3.8,2.6,■,,,,
4F,客室S1UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
4F,客室S2UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
4F,客室S3UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
4F,客室S4UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
