様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,[24]
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,[21],[22],[23],
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器の有無,全熱交換器定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[m3/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[m3/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
FCU3-317,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-318,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-319,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-320,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-321,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-322,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-323,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-324,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-301,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-302,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-303,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-304,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-305,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-306,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-307,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-308,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-309,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-310,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-311,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-312,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-313,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-314,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-315,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-316,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-317,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-318,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-319,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-320,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-401,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-402,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-403,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-404,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-405,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-406,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-407,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-408,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-409,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-410,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-411,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-412,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-413,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-414,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-415,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-416,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-417,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-418,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-419,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-420,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-421,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-422,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-423,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-424,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-401,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-402,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-403,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-404,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-405,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-406,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
