様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
4F,リネン室,ホテル等,廊下（終日）,8.226114,2.95,2.4,,,1,FL,V,40,1,,,,,,
5F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室1S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室2S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室3S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室4S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室5S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室6S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
